VIV_SEL,HOGAR,ND_TIPO,BPCOD,R_SEL,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_20,BP1_23,BP1_31,BP1_35_1,BP1_35_2,BP1_35_3,BP1_35_4,BP1_35_5,BP1_35_6,BP1_35_7,BP1_35_8,BP1_35_9,BP1_35_10,BP1_35_11,BP1_35_99,BP1_36,BP1_37,BP1_38,FAC_DEL,DOM,EST,UPM
1,1,1,8,1,11,1,1,1,2,1,2,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,174,1,2,1
5,1,1,8,2,3,1,1,2,2,1,1,1,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,348,1,2,1
1,1,1,2,3,5,1,1,4,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,400,0,270,1,2,2
5,1,1,2,2,3,1,1,3,1,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3000,0,270,1,2,2
5,1,1,2,1,4,1,1,2,3,2,1,1,2,4,2,1,0,1,0,0,0,0,1,1,0,0,0,1,2000,0,167,1,2,3
5,1,2,2,1,11,1,1,3,1,2,1,1,2,4,2,1,0,1,0,0,0,0,1,0,0,0,0,1,500,0,167,1,2,3
2,1,1,2,1,4,1,1,4,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1300,0,180,1,1,4
2,1,1,5,1,8,1,1,4,1,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,500,0,360,1,1,4
4,1,1,2,1,4,1,1,4,1,2,1,1,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,700,0,180,1,1,4
4,1,1,4,1,2,1,1,1,1,2,2,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2000,0,180,1,1,4
4,1,2,2,1,4,1,1,3,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,300,0,180,1,1,4
1,1,1,2,3,3,1,1,2,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2000,0,170,1,2,6
1,1,2,2,3,5,1,1,2,1,2,1,1,2,4,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1000,0,170,1,2,6
1,1,3,2,3,12,1,1,2,1,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1500,0,170,1,2,6
1,1,1,2,2,5,1,1,2,1,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1500,0,183,1,1,7
2,1,1,2,2,4,1,1,2,1,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,4000,0,170,1,3,8
3,1,1,2,1,2,1,1,3,1,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3000,0,170,1,3,8
3,1,1,4,1,11,1,1,3,1,2,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3500,0,340,1,3,8
5,1,1,2,2,12,1,1,3,1,2,1,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2000,0,170,1,3,8
1,1,1,2,1,1,1,1,3,1,1,2,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3000,0,155,1,2,9
1,1,1,8,1,11,1,1,2,2,1,1,1,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1000,0,310,1,2,9
1,1,2,2,1,3,1,1,3,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1300,0,155,1,2,9
1,1,3,2,1,8,1,1,4,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1200,0,155,1,2,9
1,1,4,2,1,9,1,1,1,3,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,500,0,155,1,2,9
1,1,1,2,2,1,1,1,4,1,2,1,1,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,600,0,224,1,1,10
1,1,1,3,2,3,1,1,4,2,2,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3000,0,224,1,1,10
1,1,2,2,2,12,1,1,4,1,2,1,1,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,600,0,224,1,1,10
1,1,2,3,2,3,1,1,4,2,1,1,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,224,1,1,10
1,1,1,3,1,1,1,1,2,2,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,3000,0,167,1,2,11
1,1,1,2,2,11,1,1,4,1,2,1,1,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3000,0,178,1,1,12
2,1,1,3,4,12,1,1,4,2,2,1,1,2,8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,30000,0,162,1,1,16
4,1,1,8,1,8,1,1,2,3,2,1,1,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,162,1,1,16
5,1,1,8,2,6,1,1,2,2,2,1,1,2,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,500,0,352,1,1,18
